#{"t_start": 1776617233.9189136, "env_id": "CarRacing-v3"}
r,l,t
-55.719557,1000,170.079482
-47.194719,1000,363.530772
12.970711,1000,551.867336
-14.191419,1000,854.318149
19.133574,1000,1083.260946
41.221374,1000,1307.207299
-30.693069,1000,1640.997089
-26.984127,1000,1893.677655
31.661442,1000,2128.439994
91.919192,1000,2479.924704
94.174757,1000,2711.907588
165.100671,1000,2946.869474
105.387205,1000,3259.679048
176.094276,1000,3458.207278
49.635036,1000,3655.760499
396.350365,1000,3950.250852
162.820513,1000,4179.102377
439.325843,1000,4403.94072
306.040268,1000,4715.832143
280.794702,1000,4925.784345
273.770492,1000,5123.342106
145.614035,1000,5351.058675
277.952756,1000,5549.861698
1.694915,1000,5739.674847
376.038339,1000,5931.573618
