#{"t_start": 1776617234.014464, "env_id": "None"}
r,l,t
-56.112576,1000,170.131058
-49.09059,1000,170.131058
-61.19358,1000,170.131058
-55.71935,1000,170.131058
-49.090725,1000,170.131058
-63.525505,1000,170.131058
-40.14093,1000,170.131058
-56.11258,1000,170.131058
-28.825832,1000,363.617204
-46.327465,1000,363.617204
1.3984219,1000,363.617204
-47.19469,1000,363.617204
-59.119213,1000,363.617204
-34.06583,1000,363.617204
-37.500114,1000,363.617204
-23.95457,1000,363.617204
-38.080555,1000,551.953305
-8.496828,1000,551.953305
-25.675703,1000,551.953305
12.9705715,1000,551.954745
-27.586496,1000,551.954745
-3.5716455,1000,551.954745
-22.839678,1000,551.954745
11.111071,1000,551.954745
-30.000017,1000,854.4198
-14.383831,1000,854.4198
-6.4746327,1000,854.4198
-14.191687,1000,854.4198
-25.795109,1000,854.4198
1.5387248,1000,854.4198
-23.333288,1000,854.4198
-17.763403,1000,854.4198
66.12427,1000,1083.409147
37.68136,1000,1083.409147
21.018986,1000,1083.409147
19.1335,1000,1083.409147
-16.666883,1000,1083.409147
39.78549,1000,1083.409147
4.100747,1000,1083.409147
60.959892,1000,1083.409147
55.89449,1000,1307.338326
108.03012,1000,1307.339476
42.857643,1000,1307.339476
41.22186,1000,1307.339476
129.29962,1000,1307.339476
59.010963,1000,1307.339476
83.52164,1000,1307.339476
5.8821573,1000,1307.339476
12.281448,1000,1641.126063
162.81839,1000,1641.126063
80.81221,1000,1641.126063
-30.693275,1000,1641.126063
36.055733,1000,1641.126063
116.02862,1000,1641.126063
217.16231,1000,1641.126063
-6.9761906,1000,1641.126063
130.03302,1000,1893.828919
-20.863333,1000,1893.829916
-25.37341,1000,1893.829916
-26.9844,1000,1893.829916
168.19775,1000,1893.829916
107.40879,1000,1893.829916
175.3624,1000,1893.829916
-47.01939,1000,1893.829916
210.85876,1000,2128.550663
111.89678,1000,2128.551661
212.02788,1000,2128.551661
31.662483,1000,2128.551661
46.580086,1000,2128.551661
21.710718,1000,2128.551661
38.99742,1000,2128.551661
93.77273,1000,2128.551661
18.28062,1000,2480.037857
148.29826,1000,2480.037857
62.25173,1000,2480.037857
91.92032,1000,2480.037857
295.68002,1000,2480.037857
-46.042908,1000,2480.037857
-19.297932,1000,2480.037857
38.18297,1000,2480.037857
46.66781,1000,2712.057484
28.676281,1000,2712.057484
48.411285,1000,2712.057484
94.175606,1000,2712.057484
-38.053158,1000,2712.057484
82.156845,1000,2712.057484
28.71287,1000,2712.057484
54.12307,1000,2712.057484
50.000168,1000,2947.021511
167.79395,1000,2947.021511
107.358505,1000,2947.021511
165.1004,1000,2947.021511
-33.753704,1000,2947.021511
424.6442,1000,2947.021511
245.56396,1000,2947.021511
138.40742,1000,2947.021511
48.277138,1000,3259.73535
229.18877,1000,3259.73535
-12.280581,1000,3259.73535
105.38737,1000,3259.73535
150.75633,1000,3259.73535
8.475479,1000,3259.73535
-27.536182,1000,3259.73535
64.12295,1000,3259.73535
106.08153,1000,3458.298251
83.40527,1000,3458.298251
226.01602,1000,3458.298251
176.09093,1000,3458.298251
36.986916,1000,3458.298251
-41.717564,1000,3458.298251
-19.860186,1000,3458.298251
-26.174221,1000,3458.298251
231.14684,1000,3655.819303
117.078766,1000,3655.819303
285.5402,1000,3655.819303
49.636406,1000,3655.819303
378.72046,1000,3655.819303
-36.962864,1000,3655.819303
219.44193,1000,3655.819303
123.24278,1000,3655.819303
386.78833,1000,3950.394151
178.1652,1000,3950.395284
165.57303,1000,3950.395284
396.3474,1000,3950.395284
