#{"t_start": 1776796214.9279797, "env_id": "CarRacing-v3"}
r,l,t
-49.253731,1000,128.288172
-72.027972,1000,264.02107
-49.324324,1000,415.892058
-28.057554,1000,613.268853
40.127389,1000,747.590968
21.95122,1000,878.568455
-15.129151,1000,1073.127177
168.656716,1000,1204.981155
-13.533835,1000,1338.871144
-40.397351,1000,1530.537885
207.420495,1000,1662.866988
150.83612,1000,1796.651587
19.298246,1000,1993.004134
-40.438871,1000,2125.178555
56.626506,1000,2256.644607
11.47541,1000,2452.342214
169.10299,1000,2589.242954
396.402878,1000,2728.013366
-65.657534,411,2762.556503
-40.298507,1000,2957.603015
157.95053,1000,3090.294985
232.089552,1000,3222.845052
213.333333,1000,3417.270272
112.624585,1000,3550.151917
232.352941,1000,3692.983174
