#{"t_start": 1776796215.017122, "env_id": "None"}
r,l,t
-56.112576,1000,128.352652
-41.817924,1000,128.352652
-49.253494,1000,128.352652
-40.959274,1000,128.352652
-30.90901,1000,128.353652
-48.328,1000,128.353652
9.154778,1000,128.353652
-56.11267,1000,128.353652
-60.853832,1000,264.080953
-32.203556,1000,264.080953
-72.027504,1000,264.080953
-20.792315,1000,264.080953
-55.974663,1000,264.080953
-63.369637,1000,264.080953
-51.388786,1000,264.080953
6.464388,1000,264.080953
-50.464233,1000,415.996939
-31.372728,1000,415.996939
-49.324287,1000,415.996939
-62.34281,1000,415.997938
-72.41332,1000,415.997938
-7.14235,1000,415.997938
-38.27166,1000,415.997938
-27.350668,1000,415.997938
-36.66646,1000,613.333649
-48.63007,1000,613.333649
-28.057447,1000,613.333649
-80.1974,1000,613.333649
-71.730995,1000,613.333649
-66.15349,1000,613.333649
-46.66666,1000,613.333649
-50.65736,1000,613.333649
20.521204,1000,747.655095
189.85153,1000,747.655095
40.128685,1000,747.655095
-13.356805,1000,747.655095
30.43592,1000,747.655095
-46.236397,1000,747.655095
-40.063206,1000,747.655095
23.287546,1000,747.655095
-27.756598,1000,878.63385
-34.3066,1000,878.63385
21.952013,1000,878.63385
-19.84735,1000,878.63385
-29.936287,1000,878.63385
-1.0598373,1000,878.63385
-17.60259,1000,878.63385
-29.41191,1000,878.63385
47.36979,1000,1073.191632
105.12641,1000,1073.191632
-15.128598,1000,1073.191632
140.9242,1000,1073.191632
-1.3597573,1000,1073.191632
129.96558,1000,1073.191632
161.19417,1000,1073.191632
2.990768,1000,1073.191632
-93.065765,759,1184.687801
142.80789,1000,1205.053597
168.65492,1000,1205.053597
242.855,1000,1205.053597
145.20686,1000,1205.053597
-18.518013,1000,1205.053597
-9.419738,1000,1205.053597
32.451084,1000,1205.053597
130.48383,1000,1318.626418
8.614442,1000,1338.933654
-13.533483,1000,1338.933654
-21.629866,1000,1338.933654
-2.2796414,1000,1338.933654
-17.763369,1000,1338.933654
62.162598,1000,1338.933654
14.187708,1000,1338.933654
-99.7366,536,1467.419749
-35.373905,1000,1510.547179
-40.397396,1000,1530.609636
27.947248,1000,1530.609636
22.302584,1000,1530.609636
-13.668456,1000,1530.609636
-22.806871,1000,1530.609636
81.81839,1000,1530.610636
-26.666784,1000,1599.203162
