#{"t_start": 1776810264.1904712, "env_id": "CarRacing-v3"}
r,l,t
-52.02952,1000,145.51086
-40.594059,1000,317.587392
-12.133891,1000,490.879597
-57.09571,1000,713.056223
-27.797834,1000,884.784776
-23.664122,1000,1041.834445
-30.693069,1000,1295.589274
-30.15873,1000,1472.607926
-56.112853,1000,1647.239756
-32.659933,1000,1908.535054
165.372168,1000,2066.071231
386.577181,1000,2243.730225
-29.292929,1000,2474.32203
351.178451,1000,2626.736605
64.233577,1000,2781.013098
655.474453,1000,3007.057336
406.410256,1000,3160.545575
210.861423,1000,3313.95152
40.939597,1000,3541.199941
191.390728,1000,3695.270163
398.360656,1000,3848.615487
26.315789,1000,4043.394705
-5.511811,1000,4198.353175
361.016949,1000,4367.14194
292.971246,1000,4530.111489
