#{"t_start": 1776810264.2827537, "env_id": "None"}
r,l,t
-46.708294,1000,145.559516
-41.818222,1000,145.559516
-43.283417,1000,145.559516
-52.02928,1000,145.559516
-34.545597,1000,145.559516
-54.407127,1000,145.559516
-43.661972,1000,145.559516
-46.70843,1000,145.559516
-50.1778,1000,317.635638
-46.327614,1000,317.635638
-23.077192,1000,317.635638
-40.593983,1000,317.635638
-40.2515,1000,317.635638
-34.066055,1000,317.635638
-47.91655,1000,317.635638
-20.152128,1000,317.635638
-34.984528,1000,490.934749
-50.98029,1000,490.934749
-56.080875,1000,490.934749
-12.133931,1000,490.935749
-27.586311,1000,490.935749
-21.428843,1000,490.935749
17.28381,1000,490.935749
-1.7096857,1000,490.935749
-36.666805,1000,713.112513
-31.507124,1000,713.112513
-35.251984,1000,713.112513
-57.095486,1000,713.112513
-50.52994,1000,713.112513
-50.76915,1000,713.112513
-36.666805,1000,713.112513
-53.947178,1000,713.112513
23.778238,1000,884.844209
-13.043735,1000,884.844209
-14.012809,1000,884.844209
-27.797844,1000,884.844209
-31.159481,1000,884.844209
14.695625,1000,884.844209
-43.217724,1000,884.844209
47.260395,1000,884.844209
-8.745095,1000,1041.905971
-30.657219,1000,1041.905971
-26.82954,1000,1041.905971
-23.664042,1000,1041.905971
-29.936588,1000,1041.905971
-29.328693,1000,1041.905971
-28.838953,1000,1041.905971
-29.412018,1000,1041.905971
40.35183,1000,1295.641437
-26.282257,1000,1295.641437
-33.579376,1000,1295.641437
-30.693285,1000,1295.641437
-28.571552,1000,1295.641437
-30.313644,1000,1295.641437
-25.37332,1000,1295.641437
-33.55504,1000,1295.641437
21.406673,1000,1472.705235
-24.460218,1000,1472.705235
-37.313473,1000,1472.705235
-30.158669,1000,1472.705235
30.269344,1000,1472.705235
-22.22198,1000,1472.705235
-23.912949,1000,1472.705235
-30.463484,1000,1472.705235
-45.564034,808,1624.893865
-58.131615,828,1627.197722
16.105768,1000,1647.257617
-21.932842,1000,1647.257617
-24.811892,1000,1647.257617
-56.11265,1000,1647.257617
-31.5961,1000,1647.257617
-21.052511,1000,1647.257617
-22.806723,1000,1886.477517
183.6329,1000,1888.928683
36.20198,1000,1908.550854
138.09201,1000,1908.550854
5.960448,1000,1908.550854
-32.65981,1000,1908.550854
4.317101,1000,1908.552367
-20.862955,1000,1908.552367
22.113298,1000,2047.199536
29.03349,1000,2049.10186
43.33448,1000,2066.085532
278.67322,1000,2066.085532
13.075161,1000,2066.085532
165.36852,1000,2066.085532
106.488846,1000,2066.085532
517.0999,1000,2066.085532
166.05197,1000,2221.739806
121.85277,1000,2224.04142
159.37291,1000,2243.787385
279.6584,1000,2243.787385
371.56866,1000,2243.787385
386.57465,1000,2243.787385
117.66373,1000,2243.787385
466.89725,1000,2243.787385
-31.159222,1000,2454.221735
67.93992,1000,2456.315331
37.93226,1000,2474.346053
67.70295,1000,2474.346053
356.13776,1000,2474.346053
-29.292862,1000,2474.346053
250.45103,1000,2474.346053
259.319,1000,2474.346053
366.8957,1000,2581.94513
168.45294,1000,2609.115569
156.75475,1000,2626.755768
424.01395,1000,2626.755768
207.20648,1000,2626.755768
351.17548,1000,2626.755768
50.68618,1000,2626.755768
157.66635,1000,2626.755768
278.46957,1000,2736.23169
211.92372,1000,2738.322656
116.39217,1000,2781.029163
323.485,1000,2781.029163
406.0217,1000,2781.029163
64.23488,1000,2781.029163
134.03917,1000,2781.029163
112.03323,1000,2781.029163
377.96252,1000,2962.145304
398.28967,1000,2964.20541
579.2447,1000,3007.081863
667.6068,1000,3007.081863
559.01526,1000,3007.081863
655.47394,1000,3007.081863
51.944794,1000,3007.081863
643.77356,1000,3007.081863
322.21838,1000,3116.032004
386.108,1000,3118.065858
541.5078,1000,3160.563241
163.15425,1000,3160.563241
192.3552,1000,3160.563241
406.4074,1000,3160.563241
80.92094,1000,3160.563241
536.70795,1000,3160.563241
307.62146,1000,3269.397467
300.6812,1000,3271.326171
594.8533,1000,3313.967221
415.35464,1000,3313.967221
493.5239,1000,3313.967221
210.85794,1000,3313.967221
319.04434,1000,3313.967221
413.51068,1000,3313.967221
359.5441,1000,3496.102868
434.479,1000,3498.258803
41.869812,1000,3541.216949
428.36606,1000,3541.216949
286.9825,1000,3541.216949
40.940933,1000,3541.216949
283.6438,1000,3541.216949
76.8947,1000,3541.216949
372.72354,1000,3650.171436
448.94806,1000,3652.320234
504.81012,1000,3695.256575
520.36743,1000,3695.256575
365.66776,1000,3695.256575
191.38686,1000,3695.256575
639.1324,1000,3695.256575
366.25482,1000,3695.256575
652.7707,1000,3803.933234
623.02515,1000,3805.994778
524.59546,1000,3848.635717
231.47278,1000,3848.635717
596.118,1000,3848.635717
398.35666,1000,3848.635717
347.09488,1000,3848.635717
467.99554,1000,3848.635717
497.11957,1000,3956.52927
162.4546,1000,3958.652071
304.32776,1000,4043.41219
466.30347,1000,4043.41219
396.26538,1000,4043.41219
26.317045,1000,4043.41219
167.96968,1000,4043.41219
222.4599,1000,4043.41219
197.87247,1000,4177.232806
-18.604675,1000,4179.3231
256.05798,1000,4198.374329
156.25008,1000,4198.374329
256.66562,1000,4198.374329
-5.5112605,1000,4198.374329
129.35635,1000,4198.374329
344.03976,1000,4198.374329
68.317345,1000,4342.780429
161.7416,1000,4345.401093
55.643402,1000,4367.216118
357.78955,1000,4367.216118
401.65787,1000,4367.216118
361.01282,1000,4367.216118
317.75952,1000,4367.216118
324.91672,1000,4367.216118
126.11085,1000,4507.943494
553.2816,1000,4510.157247
340.2949,1000,4530.135383
611.02545,1000,4530.136383
349.99673,1000,4530.136383
292.96756,1000,4530.136383
509.84406,1000,4530.136383
279.18185,1000,4530.136383
