#{"t_start": 1776884807.5154512, "env_id": "CarRacing-v3"}
r,l,t
-41.818182,1000,116.209149
-63.276836,1000,260.595449
-73.856209,1000,429.482848
-62.328767,1000,647.851501
-56.521739,1000,783.216066
-63.50365,1000,915.209916
-55.128205,1000,1112.368853
-49.640288,1000,1244.508044
-29.36803,1000,1379.265501
-31.972789,1000,1578.871026
-59.558824,1000,1714.338712
-28.813559,1000,1847.803895
61.490683,1000,2046.048471
79.039301,1000,2176.253725
191.814947,1000,2311.89687
343.661972,1000,2501.222982
-28.79257,1000,2635.608825
-21.501706,1000,2767.353237
258.156028,1000,2958.121729
72.839506,1000,3093.07767
47.632312,1000,3230.03347
494.982079,1000,3393.431211
187.5,1000,3530.673363
234.415584,1000,3667.410872
52.091255,1000,3816.674875
