#{"t_start": 1776890035.0464053, "env_id": "CarRacing-v3"}
r,l,t
-41.818182,1000,82.16334
-60.451977,1000,212.945141
-60.784314,1000,344.128926
-38.356164,1000,538.279059
-45.652174,1000,670.76831
-59.854015,1000,800.68994
-42.307692,1000,987.424807
-49.640288,1000,1119.965995
-36.802974,1000,1267.575289
-48.979592,1000,1457.778362
-59.558824,1000,1589.071494
-38.983051,1000,1723.3558
61.490683,1000,1961.233576
74.672489,1000,2125.446193
-28.825623,1000,2304.197848
-22.535211,1000,2543.540997
-31.888545,1000,2710.764841
-24.914676,1000,2873.345824
-11.347518,1000,3094.363801
69.753086,1000,3258.265583
47.632312,1000,3424.108872
-13.978495,1000,3631.477472
-25.0,1000,3796.420888
260.38961,1000,3957.519296
40.684411,1000,4118.170249
