#{"t_start": 1776890035.1493292, "env_id": "None"}
r,l,t
-46.708202,1000,82.248719
-41.81817,1000,82.248719
-46.268368,1000,82.248719
-52.02928,1000,82.248719
-38.181892,1000,82.248719
-54.40706,1000,82.248719
-40.140812,1000,82.248719
-46.708313,1000,82.249728
-60.853718,1000,213.042165
-60.45171,1000,213.042165
-23.076967,1000,213.042165
-57.095383,1000,213.042165
-55.974537,1000,213.042165
-52.38075,1000,213.042165
-58.33298,1000,213.042165
-42.96567,1000,213.042165
-44.272385,1000,344.208836
-60.784008,1000,344.208836
-59.459167,1000,344.208836
-33.054657,1000,344.210835
-34.482937,1000,344.210835
-39.285667,1000,344.210835
-32.098934,1000,344.210835
-23.076923,1000,344.210835
-49.999905,1000,538.365763
-38.356308,1000,538.365763
-49.640217,1000,538.365763
-60.395687,1000,538.365763
-57.59687,1000,538.365763
-59.99971,1000,538.365763
-46.666553,1000,538.365763
-60.525932,1000,538.365763
-60.911743,1000,670.859029
-45.65216,1000,670.859029
-20.382345,1000,670.859029
-53.068455,1000,670.859029
-60.14468,1000,670.859029
-35.484047,1000,670.859029
-62.144817,1000,670.859029
-48.63004,1000,670.859029
-42.965824,1000,800.787607
-59.853756,1000,800.787607
-44.250893,1000,800.787607
-58.01503,1000,800.787607
-52.22919,1000,800.787607
-61.130463,1000,800.787607
-55.055996,1000,800.787607
-58.823257,1000,800.787607
-54.385815,1000,987.500065
-42.307716,1000,987.500065
-52.029423,1000,987.500065
-47.194695,1000,987.500065
-55.78214,1000,987.500065
-61.67219,1000,987.500065
-29.104431,1000,987.500065
-60.13261,1000,987.500065
-48.88173,1000,1120.06503
-49.64024,1000,1120.06503
-61.19374,1000,1120.06503
-55.555367,1000,1120.06503
-46.360146,1000,1120.06503
-33.333477,1000,1120.06503
-49.275295,1000,1120.06503
-33.77491,1000,1120.06503
-55.056026,1000,1267.655882
-36.80311,1000,1267.655882
-39.849754,1000,1267.655882
-40.438866,1000,1267.655882
-44.625423,1000,1267.655882
-40.789585,1000,1267.655882
-38.224075,1000,1267.655882
-48.096855,1000,1267.655882
-49.820736,1000,1457.82756
-48.97953,1000,1457.82756
-56.953407,1000,1457.82756
-39.39406,1000,1457.82756
-49.640232,1000,1457.82756
-35.25203,1000,1457.82756
-54.3858,1000,1457.82756
-49.09087,1000,1457.82756
-43.333332,1000,1589.165769
-59.558594,1000,1589.165769
-57.59696,1000,1589.165769
-41.747646,1000,1589.165769
-67.55114,1000,1589.165769
-47.95538,1000,1589.165769
-40.59414,1000,1589.165769
-49.82073,1000,1589.165769
-37.500164,1000,1723.449132
-38.983192,1000,1723.449132
-49.832687,1000,1723.449132
-53.02001,1000,1723.449132
-36.908684,1000,1723.449132
-47.183056,1000,1723.449132
-44.95415,1000,1723.449132
-43.708664,1000,1723.449132
37.93194,1000,1961.34936
61.491768,1000,1961.34936
-29.824514,1000,1961.34936
-36.027138,1000,1961.34936
-42.5982,1000,1961.34936
-25.42385,1000,1961.34936
-31.15934,1000,1961.34936
64.12317,1000,1961.34936
-32.432533,1000,2125.561109
74.67371,1000,2125.561109
-31.034628,1000,2125.561109
-29.293009,1000,2125.561109
43.836597,1000,2125.561109
-35.583027,1000,2125.561109
-26.829184,1000,2125.561109
-29.530163,1000,2125.561109
-31.14778,1000,2304.335505
-28.825834,1000,2304.335505
-15.662379,1000,2304.335505
60.584763,1000,2304.335505
-25.531761,1000,2304.335505
-42.693466,1000,2304.335505
-30.555481,1000,2304.335505
-35.78002,1000,2304.335505
-13.207282,1000,2543.673164
-22.535057,1000,2543.673164
-31.147495,1000,2543.673164
-27.007128,1000,2543.673164
62.54519,1000,2543.673164
-21.707916,1000,2543.673164
45.76384,1000,2543.673164
-31.740753,1000,2543.673164
-33.96221,1000,2710.882036
-31.888586,1000,2710.882036
-26.91011,1000,2710.882036
-19.871492,1000,2710.882036
71.05376,1000,2710.882036
180.8963,1000,2710.882036
229.62752,1000,2710.882036
-20.138638,1000,2710.882036
-15.440814,1000,2873.478666
-24.91444,1000,2873.478666
-20.86297,1000,2873.478666
-17.602678,1000,2873.478666
-26.984028,1000,2873.478666
-29.053907,1000,2873.478666
-29.618704,1000,2873.478666
-28.082018,1000,2873.478666
-24.523788,943,3088.21044
-67.11096,987,3092.861705
-11.347024,1000,3094.476139
225.34021,1000,3094.476139
34.229317,1000,3094.476139
-27.672781,1000,3094.476139
-25.566074,1000,3094.476139
-24.137676,1000,3094.476139
38.03794,1000,3252.284519
-27.834826,1000,3256.831362
69.75421,1000,3258.56303
-34.32831,1000,3258.56303
-30.463514,1000,3258.56303
2.7675862,1000,3258.56303
-23.636106,1000,3258.56303
-16.083502,1000,3258.56303
0.0007454306,1000,3417.908182
217.14943,1000,3422.634663
47.63344,1000,3424.253771
-22.261156,1000,3424.253771
-27.868666,1000,3424.253771
-21.501469,1000,3424.253771
