#{"t_start": 1776897569.892938, "env_id": "CarRacing-v3"}
r,l,t
-46.708464,1000,150.73649
-23.954373,1000,308.198173
-18.803419,1000,464.157678
-30.921053,1000,685.005023
13.013699,1000,834.811475
-41.176471,1000,984.398357
-50.166113,1000,1163.574712
-30.463576,1000,1318.417905
-61.352941,791,1448.733148
-119.872727,927,1604.155427
0.358423,1000,1757.128915
-30.463576,1000,1907.532634
64.122137,1000,2097.672008
-12.751678,1000,2249.848003
-29.663609,1000,2400.962418
-11.262799,1000,2607.950976
354.861111,1000,2762.633
194.520548,1000,2916.269088
189.655172,1000,3071.419956
249.65035,1000,3271.135404
515.107914,1000,3427.097844
404.983389,1000,3580.714489
729.457364,1000,3772.212676
78.167785,971,3922.891572
381.751825,1000,4075.909533
