#{"t_start": 1776897569.8959715, "env_id": "None"}
r,l,t
-46.708164,1000,150.748704
-41.818222,1000,150.748704
-46.268353,1000,150.748704
-52.02928,1000,150.748704
-34.545597,1000,150.748704
-54.407085,1000,150.748704
-40.14083,1000,150.748704
-46.708313,1000,150.748704
-53.73638,1000,308.228587
-49.1525,1000,308.228587
-30.070099,1000,308.228587
-43.894386,1000,308.228587
-43.39621,1000,308.228587
-34.066048,1000,308.228587
-51.388657,1000,308.228587
-23.954538,1000,308.228587
-44.272266,1000,464.170687
-31.37274,1000,464.170687
-32.432552,1000,464.170687
-7.9499207,1000,464.173232
-24.138071,1000,464.173232
-25.000214,1000,464.173232
-19.753279,1000,464.173232
-18.803652,1000,464.173232
-30.000233,1000,685.017989
-28.082253,1000,685.017989
-20.863533,1000,685.017989
-40.594055,1000,685.017989
-32.862312,1000,685.017989
4.615426,1000,685.017989
-30.00003,1000,685.017989
-30.9211,1000,685.017989
20.520927,1000,834.825956
-27.536442,1000,834.825956
8.2803,1000,834.825956
-27.798086,1000,834.825956
-31.159716,1000,834.825956
18.279354,1000,834.825956
-43.21772,1000,834.825956
13.0135,1000,834.825956
-20.152348,1000,984.420513
-34.306793,1000,984.420513
-26.82951,1000,984.421512
-31.297968,1000,984.421512
-39.490524,1000,984.421512
-43.46295,1000,984.421512
-28.839182,1000,984.421512
-41.176464,1000,984.421512
-33.333584,1000,1163.586803
-32.692497,1000,1163.586803
-40.95952,1000,1163.586803
-20.792099,1000,1163.586803
-31.97306,1000,1163.586803
-51.21942,1000,1163.586803
15.672417,1000,1163.586803
-50.16601,1000,1163.586803
-130.20654,811,1299.441244
-130.24628,879,1306.014926
-114.32581,885,1306.640981
-147.60889,895,1307.641736
-42.49209,1000,1318.440731
-27.202993,1000,1318.440731
-38.40596,1000,1318.440731
-30.463594,1000,1318.440731
-113.0314,855,1443.767014
-126.92044,865,1444.132731
-61.352097,791,1448.753273
31.662598,1000,1450.50934
-120.65233,997,1458.633578
-126.89614,954,1464.609452
-129.18419,967,1465.881249
8.108805,1000,1469.241517
-119.872696,927,1604.179996
-24.460417,1000,1633.303126
-31.973011,1000,1633.964498
-29.29317,1000,1640.444253
-33.77509,1000,1648.506891
-24.460466,1000,1654.570499
-28.315434,1000,1655.743953
-29.824602,1000,1659.12703
0.35903782,1000,1757.14688
-21.932838,1000,1759.363369
-37.500114,1000,1759.810765
-35.275265,1000,1791.993685
-32.86233,1000,1800.132544
-61.651623,1000,1806.335853
33.33422,1000,1807.664033
15.512243,1000,1810.978499
-30.463457,1000,1907.553107
-29.577328,1000,1909.800658
-28.81339,1000,1910.218319
-22.818636,1000,1942.055382
-29.765778,1000,1950.413424
-33.753956,1000,1957.018587
-31.250032,1000,1958.326262
-35.779873,1000,1961.668254
64.123146,1000,2097.692077
-22.033648,1000,2099.966794
64.59731,1000,2100.440953
-29.293028,1000,2132.734747
-26.315575,1000,2140.801118
-36.556087,1000,2147.026595
44.828506,1000,2148.412452
-23.912766,1000,2151.747445
-12.751409,1000,2249.867181
-32.515408,1000,2252.122946
83.406265,1000,2252.56131
-22.558727,1000,2259.848669
37.93222,1000,2293.262363
54.11078,1000,2299.481638
-29.053888,1000,2300.835159
-19.860304,1000,2304.257129
-29.663538,1000,2400.985445
-28.366688,1000,2403.224889
-25.266668,1000,2403.668756
60.585228,1000,2410.221217
273.4915,1000,2444.748794
