#{"t_start": 1776904843.7020051, "env_id": "CarRacing-v3"}
r,l,t
-34.545455,1000,142.921796
-40.251572,1000,302.386135
-27.586207,1000,470.51592
-50.530035,1000,660.552443
-31.15942,1000,795.618852
-29.936306,1000,925.661758
-28.571429,1000,1110.781182
30.268199,1000,1241.280172
-31.596091,1000,1371.449293
4.316547,1000,1564.356401
106.489676,1000,1695.891575
117.665615,1000,1828.61698
250.453172,1000,2022.20447
50.684932,1000,2154.11006
134.042553,1000,2286.979644
51.943463,1000,2480.555987
80.921053,1000,2615.013064
319.047619,1000,2748.841049
283.647799,1000,2941.887439
639.130435,1000,3075.903797
347.098976,1000,3209.189978
167.973856,1000,3373.700787
129.357798,1000,3507.393323
317.763158,1000,3640.588569
509.848485,1000,3773.706209
631.800766,1000,3965.048166
820.754717,1000,4097.75827
387.972509,1000,4231.753736
307.294833,1000,4421.375209
179.850746,1000,4553.956085
215.457413,1000,4686.298315
892.565056,1000,4880.547175
849.66443,1000,5013.857112
625.490196,1000,5147.521004
517.54386,1000,5335.049182
844.444444,1000,5470.261633
23.609121,361,5525.653465
580.473373,1000,5636.010783
482.733813,1000,5830.9567
771.212121,1000,5964.04322
818.032787,1000,6098.49661
912.6,874,6278.526592
731.541219,1000,6411.740237
99.064259,748,6499.697622
519.808307,1000,6695.866321
921.2,788,6811.653583
81.611828,658,6891.428607
650.830565,1000,7025.113046
921.7,783,7200.815073
896.503497,1000,7334.6676
844.262295,1000,7470.505751
606.422018,1000,7666.414788
889.208633,1000,7799.855258
724.385425,745,7887.255875
585.534591,1000,8021.952852
561.818182,1000,8217.297959
518.75,1000,8350.691776
713.868613,1000,8485.445124
869.348659,1000,8678.707596
889.010989,1000,8812.381344
45.254054,339,8840.895315
886.348123,1000,8974.53516
892.337165,1000,9169.304715
883.766234,1000,9303.234443
460.0,1000,9437.462394
922.0,780,9601.606635
521.262458,1000,9735.281979
820.792079,1000,9870.363109
537.540453,1000,10067.12155
872.60274,1000,10201.848994
384.745763,1000,10309.526819
392.248062,1000,10503.546617
866.216216,1000,10636.339659
558.450704,1000,10769.664752
484.459459,1000,10964.517289
268.421053,1000,11097.721843
492.465753,1000,11231.853134
873.333333,1000,11429.110754
475.342466,1000,11568.874474
295.522388,1000,11702.649012
405.586592,1000,11838.228069
567.79661,1000,12033.160221
246.278317,1000,12167.215121
485.760518,1000,12301.370926
731.125828,1000,12500.785451
268.243243,1000,12634.365056
753.794949,958,12764.629495
456.313993,1000,12960.682755
767.986799,1000,13095.779475
377.124183,1000,13206.57852
473.426573,1000,13406.462529
761.818182,1000,13541.353386
301.215805,1000,13676.679749
303.174603,1000,13874.009578
537.323944,1000,14009.512643
836.842105,1000,14144.048147
429.411765,1000,14336.886916
834.256055,1000,14471.682874
799.224806,1000,14605.73398
800.0,1000,14801.633348
172.428902,427,14862.609776
243.537415,1000,14997.467608
816.41791,1000,15141.257899
847.019868,1000,15338.975953
482.236842,1000,15475.172448
853.020134,1000,15610.575643
861.403509,1000,15807.37497
846.875,1000,15941.971921
488.447653,1000,16052.24659
845.454545,1000,16249.725192
897.02381,1000,16384.462539
816.666667,1000,16520.662548
859.59596,1000,16714.635453
849.494949,1000,16849.663804
889.010989,1000,16983.926408
870.588235,1000,17117.826027
883.164983,1000,17314.444485
428.125,1000,17449.615502
884.375,1000,17585.181865
546.687697,1000,17782.57757
675.280899,1000,17922.862797
387.719298,1000,18057.845951
808.759124,1000,18256.066607
832.862191,1000,18390.712584
816.083916,1000,18525.548743
827.392739,1000,18724.38778
835.37415,1000,18859.46788
707.142857,1000,18994.879491
