#{"t_start": 1776904843.759194, "env_id": "None"}
r,l,t
-46.708294,1000,142.979413
-41.818222,1000,142.979413
-43.283417,1000,142.979413
-52.02928,1000,142.979413
-34.545597,1000,142.979413
-54.407127,1000,142.979413
-43.661972,1000,142.979413
-46.70843,1000,142.979413
-50.1778,1000,302.465007
-46.327614,1000,302.465007
-23.077192,1000,302.465007
-40.593983,1000,302.465007
-40.2515,1000,302.465007
-34.066055,1000,302.465007
-47.91655,1000,302.465007
-20.152128,1000,302.465007
-34.984528,1000,470.572659
-50.98029,1000,470.572659
-56.080875,1000,470.572659
-12.133931,1000,470.574661
-27.586311,1000,470.574661
-21.428843,1000,470.574661
17.28381,1000,470.574661
-1.7096857,1000,470.574661
-36.666805,1000,660.592785
-31.507124,1000,660.592785
-35.251984,1000,660.592785
-57.095486,1000,660.592785
-50.52994,1000,660.592785
-50.76915,1000,660.592785
-36.666805,1000,660.592785
-53.947178,1000,660.592785
23.778238,1000,795.661507
-13.043735,1000,795.661507
-14.012809,1000,795.661507
-27.797844,1000,795.661507
-31.159481,1000,795.661507
14.695625,1000,795.661507
-43.217724,1000,795.661507
47.260395,1000,795.661507
-8.745095,1000,925.701179
-30.657219,1000,925.701179
-26.82954,1000,925.701179
-23.664042,1000,925.701179
-29.936588,1000,925.701179
-29.328693,1000,925.701179
-28.838953,1000,925.701179
-29.412018,1000,925.701179
40.35183,1000,1110.824696
-26.282257,1000,1110.824696
-33.579376,1000,1110.824696
-30.693285,1000,1110.824696
-28.571552,1000,1110.824696
-30.313644,1000,1110.824696
-25.37332,1000,1110.824696
-33.55504,1000,1110.824696
21.406673,1000,1241.319938
-24.460218,1000,1241.319938
-37.313473,1000,1241.319938
-30.158669,1000,1241.319938
30.269344,1000,1241.319938
-22.22198,1000,1241.319938
-23.912949,1000,1241.319938
-30.463484,1000,1241.319938
-45.564034,808,1355.801445
-58.131615,828,1357.378666
16.105768,1000,1371.455262
-21.932842,1000,1371.455262
-24.811892,1000,1371.455262
-56.11265,1000,1371.455262
-31.5961,1000,1371.455262
-21.052511,1000,1371.455262
-22.806723,1000,1548.408364
183.6329,1000,1550.039539
36.20198,1000,1564.361314
138.09201,1000,1564.361314
5.960448,1000,1564.361314
-32.65981,1000,1564.361314
4.317101,1000,1564.361314
-20.862955,1000,1564.361314
22.113298,1000,1680.046838
29.03349,1000,1681.688497
43.33448,1000,1695.900738
278.67322,1000,1695.900738
13.075161,1000,1695.900738
165.36852,1000,1695.900738
106.488846,1000,1695.900738
517.0999,1000,1695.900738
166.05197,1000,1812.158415
121.85277,1000,1813.807891
159.37291,1000,1828.623809
279.6584,1000,1828.623809
371.56866,1000,1828.623809
386.57465,1000,1828.623809
117.66373,1000,1828.623809
466.89725,1000,1828.623809
-31.159222,1000,2006.026499
67.93992,1000,2007.682695
37.93226,1000,2022.216479
67.70295,1000,2022.216479
356.13776,1000,2022.216479
-29.292862,1000,2022.216479
250.45103,1000,2022.216479
259.319,1000,2022.216479
366.8957,1000,2113.820744
168.45294,1000,2139.972108
156.75475,1000,2154.120092
424.01395,1000,2154.120092
207.20648,1000,2154.120092
351.17548,1000,2154.120092
50.68618,1000,2154.120092
157.66635,1000,2154.120092
278.46957,1000,2246.716337
211.92372,1000,2248.36229
116.39217,1000,2286.991408
323.485,1000,2286.991408
406.0217,1000,2286.991408
64.23488,1000,2286.991408
134.03917,1000,2286.991408
112.03323,1000,2286.991408
377.96252,1000,2440.078703
398.28967,1000,2441.786027
579.2447,1000,2480.564321
667.6068,1000,2480.564321
559.01526,1000,2480.564321
655.47394,1000,2480.564321
51.944794,1000,2480.564321
643.77356,1000,2480.564321
322.21838,1000,2574.15013
386.108,1000,2575.97648
541.5078,1000,2615.02367
163.15425,1000,2615.02367
192.3552,1000,2615.02367
406.4074,1000,2615.02367
80.92094,1000,2615.02367
536.70795,1000,2615.02367
307.62146,1000,2707.869129
300.6812,1000,2709.581619
594.8533,1000,2748.861867
415.35464,1000,2748.861867
493.5239,1000,2748.861867
210.85794,1000,2748.861867
319.04434,1000,2748.861867
413.51068,1000,2748.861867
359.5441,1000,2901.837292
434.479,1000,2903.512545
41.869812,1000,2941.892956
428.36606,1000,2941.892956
286.9825,1000,2941.892956
40.940933,1000,2941.892956
283.6438,1000,2941.892956
76.8947,1000,2941.892956
372.72354,1000,3034.994245
448.94806,1000,3036.689921
504.81012,1000,3075.897805
520.36743,1000,3075.897805
365.66776,1000,3075.897805
191.38686,1000,3075.897805
639.1324,1000,3075.897805
366.25482,1000,3075.897805
652.7707,1000,3168.143562
623.02515,1000,3169.84843
524.59546,1000,3209.207636
231.47278,1000,3209.207636
596.118,1000,3209.207636
398.35666,1000,3209.207636
347.09488,1000,3209.207636
467.99554,1000,3209.207636
497.11957,1000,3300.584333
162.4546,1000,3302.282988
304.32776,1000,3373.71468
466.30347,1000,3373.71468
396.26538,1000,3373.71468
26.317045,1000,3373.71468
167.96968,1000,3373.71468
222.4599,1000,3373.71468
197.87247,1000,3490.903832
-18.604675,1000,3492.714053
256.05798,1000,3507.408603
156.25008,1000,3507.408603
256.66562,1000,3507.408603
-5.5112605,1000,3507.408603
129.35635,1000,3507.408603
344.03976,1000,3507.408603
68.317345,1000,3624.092466
161.7416,1000,3625.77583
55.643402,1000,3640.595074
357.78955,1000,3640.595074
401.65787,1000,3640.595074
361.01282,1000,3640.595074
317.75952,1000,3640.595074
324.91672,1000,3640.595074
