#{"t_start": 1777041532.2539525, "env_id": "CarRacing-v3"}
r,l,t
-54.407295,1000,115.738891
-48.717949,1000,241.74703
-50.0,1000,367.29651
-44.615385,1000,519.104996
25.448029,1000,642.968055
-29.328622,1000,766.287529
-30.313589,1000,932.147489
-18.518519,1000,1055.996941
-27.631579,1000,1176.359497
-17.266187,1000,1350.866781
-21.933086,1000,1472.127125
445.774648,1000,1595.417666
445.762712,1000,1759.841458
154.601227,1000,1883.337121
275.358166,1000,2008.523386
376.868327,1000,2194.293582
851.310861,1000,2325.10299
322.297297,1000,2450.263531
499.277978,1000,2643.493177
338.650307,1000,2773.046302
460.0,1000,2901.53858
-27.536232,1000,3055.762329
618.411552,1000,3179.554926
257.827476,1000,3304.456227
743.866171,1000,3429.825022
259.735974,1000,3618.955826
564.233577,1000,3743.349246
561.818182,1000,3867.749109
740.740741,1000,4058.020848
331.746032,1000,4182.234953
591.756272,1000,4306.939485
302.985075,1000,4501.560992
675.438596,1000,4630.469316
779.844961,1000,4757.651398
585.430464,1000,4946.569909
313.043478,1000,5072.513176
520.795107,1000,5198.690255
487.248322,1000,5387.558033
784.169884,1000,5514.110712
715.884477,1000,5640.90866
202.39521,1000,5831.52471
203.977273,1000,5957.154554
801.360544,1000,6063.520589
183.111392,999,6254.534497
547.887324,1000,6381.307573
573.073973,873,6495.589643
611.111111,1000,6620.911242
720.825773,968,6798.884736
324.64202,608,6874.01877
809.722222,1000,7002.894534
361.820548,828,7145.649367
826.666667,1000,7272.162874
722.222222,1000,7397.283438
216.023529,554,7465.936251
924.8,752,7592.124895
659.197324,1000,7717.870307
896.478873,1000,7844.838571
916.1,839,8020.054153
566.666667,1000,8145.405646
746.975089,1000,8273.055305
882.142857,1000,8454.717597
380.806796,824,8549.856127
929.3,707,8656.407045
248.432056,1000,8766.819628
880.89172,1000,8952.436182
911.8,882,9074.059072
829.328622,1000,9205.588903
53.491228,431,9264.942988
884.67433,1000,9460.175081
471.917808,1000,9591.105
910.9,891,9714.426612
863.369963,1000,9912.756588
757.627119,1000,10045.320416
912.9,871,10145.784438
912.3,877,10330.93569
919.2,808,10446.973484
415.90106,1000,10559.305668
880.13245,1000,10693.002541
924.9,751,10868.621606
843.262411,1000,11002.881799
915.6,844,11103.139243
909.4,906,11297.652735
333.73494,1000,11424.314779
907.5,925,11545.282859
920.5,795,11653.951762
916.7,833,11809.77087
910.1,899,11928.544054
303.9,962,12051.047574
377.8157,1000,12240.63167
310.493827,1000,12367.398896
309.240924,1000,12493.74303
758.108108,1000,12685.120101
638.372093,1000,12813.988605
890.353698,1000,12940.958848
931.0,690,13023.890779
890.196078,1000,13216.888245
932.6,674,13299.701802
295.56962,1000,13427.758783
818.032787,1000,13616.976171
863.69637,1000,13744.203293
912.1,879,13859.306617
154.752852,1000,13986.407083
337.5,1000,14175.9774
916.2,838,14268.985642
406.67758,557,14337.297522
298.934296,777,14499.220724
315.282392,1000,14625.15977
742.809365,1000,14751.68019
902.6,974,14876.038308
877.358491,1000,15065.903663
391.166078,1000,15191.744807
819.642857,1000,15318.842161
837.293729,1000,15507.74142
634.082397,1000,15613.815835
928.9,711,15715.344352
873.684211,1000,15895.423752
918.5,815,15991.078798
863.562753,1000,16124.076099
215.95092,1000,16320.079227
761.355556,943,16443.025114
812.751678,1000,16570.821243
348.863636,1000,16698.662439
342.857143,1000,16889.622271
865.299685,1000,17018.168624
802.821317,1000,17144.393006
892.857143,1000,17334.475624
892.932862,1000,17461.634746
889.690722,1000,17592.136244
892.565056,1000,17790.753861
872.972973,1000,17918.75777
928.6,714,18000.240722
874.729242,1000,18196.880378
