#{"t_start": 1777105444.0850933, "env_id": "None"}
r,l,t
-52.238598,1000,128.775293
-18.819405,1000,128.775293
-34.5456,1000,128.775293
-45.28868,1000,128.775293
-40.14091,1000,128.775293
-37.304153,1000,128.775293
-40.238987,1000,128.775293
-22.807137,1000,128.775293
-51.048878,1000,282.811111
-20.792343,1000,282.811111
-21.383757,1000,282.811111
-23.076925,1000,282.811111
-9.722457,1000,282.811111
-1.1409928,1000,282.811111
-17.218603,1000,282.811111
-30.232813,1000,282.811111
-29.05433,1000,437.724829
-16.317923,1000,437.724829
-20.689554,1000,437.724829
-32.14298,1000,437.727514
-32.098972,1000,437.727514
-10.256355,1000,437.727514
-12.213515,1000,437.727514
-18.727757,1000,437.727514
-20.8632,1000,634.98389
-24.092321,1000,634.98389
-18.727627,1000,634.98489
-50.76909,1000,634.98489
-26.666697,1000,634.98489
-37.50017,1000,634.98489
-25.42362,1000,634.98489
-14.814517,1000,634.98489
11.464773,1000,789.437157
-20.577332,1000,789.437157
-9.419871,1000,789.437157
18.280483,1000,789.437157
-21.135414,1000,789.437157
30.138021,1000,789.437157
-24.99987,1000,789.437157
-17.602648,1000,789.437157
-19.860357,1000,942.760913
190.07545,1000,942.760913
-33.12104,1000,942.760913
-15.193929,1000,942.760913
-10.111905,1000,942.760913
-32.352867,1000,942.760913
37.097977,1000,942.760913
-16.9432,1000,942.760913
-11.43867,1000,1174.096449
8.911661,1000,1174.096449
-18.366974,1000,1174.096449
-19.860357,1000,1174.096449
38.060905,1000,1174.096449
-20.26544,1000,1174.096449
-12.350137,1000,1174.096449
-22.297129,1000,1174.096449
-34.328423,1000,1327.781589
-23.80942,1000,1327.781589
3.4488058,1000,1327.781589
-14.814506,1000,1327.781589
-16.666399,1000,1327.781589
-20.529667,1000,1327.781589
-16.363308,1000,1327.781589
-25.816038,1000,1327.781589
54.135914,1000,1483.620723
44.20173,1000,1483.620723
-28.339031,1000,1483.620723
-14.473472,1000,1483.620723
38.99724,1000,1483.620723
38.40944,1000,1483.620723
6.250211,1000,1483.620723
197.65848,1000,1483.620723
15.894417,1000,1720.660027
-19.191738,1000,1720.660027
97.842735,1000,1720.660027
209.35022,1000,1720.660027
22.807491,1000,1720.660027
23.63694,1000,1720.660027
239.62068,1000,1720.660027
27.090717,1000,1720.660027
189.74931,1000,1876.893959
417.79767,1000,1876.893959
112.38802,1000,1876.893959
479.9222,1000,1876.893959
22.113298,1000,1876.893959
50.538895,1000,1876.893959
169.5038,1000,1876.893959
156.3164,1000,1876.893959
17.0578,1000,2033.074143
295.97015,1000,2033.074143
79.81192,1000,2033.074143
459.85526,1000,2033.074143
77.37038,1000,2033.074143
15.89497,1000,2033.074143
87.26543,1000,2033.074143
173.0504,1000,2033.074143
321.05185,1000,2268.438646
11.111765,1000,2268.438646
289.72488,1000,2268.438646
283.048,1000,2268.438646
323.9118,1000,2268.438646
75.57278,1000,2268.438646
210.46815,1000,2268.438646
169.23045,1000,2268.438646
429.7769,1000,2425.335118
435.35095,1000,2425.335118
64.38474,1000,2425.335118
446.01062,1000,2425.335118
349.47418,1000,2425.335118
457.04483,1000,2425.335118
325.36975,1000,2425.335118
529.63324,1000,2425.335118
771.4926,1000,2581.958295
64.23447,1000,2581.958295
538.2963,1000,2581.958295
157.88045,1000,2581.958295
261.10748,1000,2581.958295
459.62958,1000,2581.958295
36.055664,1000,2581.958295
290.62152,1000,2581.958295
-47.255188,993,2814.157655
257.37378,1000,2815.012527
421.89322,1000,2815.012527
351.9537,1000,2815.012527
59.32293,1000,2815.012527
626.96674,1000,2815.012527
340.2689,1000,2815.012527
542.85455,1000,2815.012527
84.20953,1000,2969.513198
637.5431,1000,2970.432555
544.2358,1000,2970.432555
431.83173,1000,2970.432555
329.62512,1000,2970.432555
830.55646,1000,2970.432555
394.11313,1000,2970.432555
93.660355,1000,2970.432555
284.12317,1000,3127.829285
579.8636,1000,3128.789314
405.6145,1000,3128.789314
376.34784,1000,3128.789314
606.7508,1000,3128.789314
170.54375,1000,3128.789314
622.97925,1000,3128.789314
858.33453,1000,3128.789314
236.47348,1000,3361.12383
852.0589,1000,3362.016639
839.598,1000,3362.016639
76.89482,1000,3362.016639
621.69025,1000,3362.016639
217.2373,1000,3362.016639
254.30072,1000,3362.016639
445.10837,1000,3362.016639
852.5735,1000,3517.980144
419.39914,1000,3518.9723
280.7913,1000,3518.9723
50.307983,1000,3518.9723
830.91547,1000,3518.9723
448.94806,1000,3518.9723
896.42194,1000,3518.9723
675.92523,1000,3518.9723
732.7674,1000,3673.996842
783.3964,1000,3674.929547
290.16064,1000,3674.929547
844.0068,1000,3674.929547
781.92017,1000,3674.929547
810.0759,1000,3674.929547
595.0815,1000,3674.929547
763.6378,1000,3674.929547
495.25122,991,3880.656046
759.4784,1000,3880.891803
601.4976,1000,3881.816647
584.2144,1000,3881.816647
628.2655,1000,3881.816647
255.47827,1000,3881.816647
398.37943,1000,3881.816647
671.2212,1000,3881.816647
916.0024,840,4020.014426
755.7152,940,4031.037941
414.18124,1000,4036.61261
367.88608,1000,4036.854469
703.3349,1000,4037.776793
888.1976,1000,4037.776793
683.4018,1000,4037.776793
695.8555,1000,4037.776793
434.35974,961,4172.395103
902.0003,980,4186.200536
850.4963,1000,4194.286685
564.4783,1000,4194.560483
860.1333,1000,4195.510739
655.9381,1000,4195.510739
685.94403,1000,4195.510739
377.70355,1000,4195.510739
450.1593,1000,4330.138656
909.4051,906,4342.559762
710.22345,1000,4344.236622
905.70184,943,4346.060545
565.60406,1000,4352.400231
291.17285,1000,4353.568891
283.38263,1000,4353.568891
857.30145,1000,4353.568891
464.02176,1000,4569.324319
200.32602,1000,4581.770659
367.3161,1000,4583.529984
574.3372,1000,4585.336441
682.74963,1000,4591.629673
756.6915,1000,4592.72545
86.811844,1000,4592.72545
653.7374,1000,4592.72545
626.11847,1000,4726.932864
910.90314,891,4729.910674
659.1267,1000,4738.922169
434.96198,1000,4740.537884
904.90576,951,4743.098711
653.84827,1000,4749.929026
492.98294,1000,4749.929026
464.7015,1000,4749.929026
600.7266,1000,4885.09039
700.6922,1000,4888.158839
714.5525,1000,4897.324923
723.9036,1000,4898.926213
532.39526,1000,4901.467009
875.1825,1000,4907.816242
643.50226,1000,4907.816242
419.37625,1000,4907.816242
875.2726,1000,5124.438729
583.88965,1000,5127.440938
896.3014,1000,5136.228009
725.8072,1000,5137.867764
89.189644,1000,5140.423099
519.9971,1000,5146.880378
676.7316,1000,5146.881449
822.3006,1000,5146.881449
871.02264,1000,5280.650075
679.8588,1000,5283.590217
620.6388,1000,5292.430176
654.1568,1000,5294.064751
774.54333,1000,5296.631288
887.90845,1000,5303.238822
893.01025,1000,5303.238822
760.0706,1000,5303.238822
735.1722,1000,5436.776638
477.28293,1000,5439.699813
742.30304,1000,5448.631927
412.2775,1000,5450.245646
731.41876,1000,5452.881927
323.32965,1000,5459.512046
688.8968,1000,5459.512046
861.6694,1000,5459.512046
375.2428,1000,5666.731919
881.42224,1000,5669.657757
380.5926,1000,5678.912283
676.70294,1000,5680.584403
664.2626,1000,5683.052478
849.46954,1000,5689.806595
457.1909,1000,5689.806595
595.08154,1000,5689.806595
916.4,836,5787.614287
858.3372,1000,5824.98538
911.805,882,5834.201272
598.2435,1000,5837.01028
753.93414,1000,5838.614925
551.87335,1000,5841.162024
502.1538,1000,5847.846576
648.37445,1000,5847.846576
517.6426,1000,5945.755498
921.10535,789,5953.584948
347.94525,1000,5982.718073
506.66986,1000,5992.172587
675.1925,1000,5995.03353
608.7817,1000,5996.744955
526.54834,1000,6005.914809
721.31445,1000,6005.915809
626.32526,1000,6173.901893
921.50195,785,6174.374297
597.7725,1000,6181.739611
750.58527,1000,6189.958644
913.00574,870,6219.202449
830.4683,1000,6223.49587
716.95746,1000,6225.190191
893.5318,1000,6234.450294
866.6729,1000,6332.677439
695.1119,1000,6333.171409
865.0821,1000,6340.695326
555.31067,1000,6348.851836
773.78955,1000,6378.523621
913.00397,870,6378.523621
726.08984,1000,6382.663937
668.97925,1000,6384.39457
905.5013,945,6486.367358
857.6608,1000,6492.244343
303.5049,1000,6500.080883
907.0027,930,6508.084334
889.9745,1000,6508.231678
760.8768,1000,6537.072387
