#{"t_start": 1776617233.9671152, "env_id": "CarRacing-v3"}
r,l,t
-63.525836,1000,170.101355
-34.065934,1000,363.562771
-3.571429,1000,551.889306
1.538462,1000,854.352757
39.784946,1000,1083.31319
59.010601,1000,1307.252725
116.027875,1000,1641.035942
107.407407,1000,1893.732696
21.710526,1000,2128.479507
-46.043165,1000,2479.971241
82.156134,1000,2711.953889
424.647887,1000,2946.939813
8.474576,1000,3259.703778
-41.717791,1000,3458.23962
-36.962751,1000,3655.785331
448.042705,1000,3950.316103
484.269663,1000,4179.132033
275.0,1000,4403.966939
58.844765,1000,4715.874292
38.03681,1000,4925.795834
416.0,1000,5123.36688
-34.782609,1000,5351.078157
344.043321,1000,5549.884686
-39.297125,1000,5739.696406
405.576208,1000,5931.597068
