#{"t_start": 1776796214.9614682, "env_id": "CarRacing-v3"}
r,l,t
-30.909091,1000,128.315597
-55.974843,1000,264.038841
-72.413793,1000,415.931169
-71.731449,1000,613.289124
30.434783,1000,747.609966
-29.936306,1000,878.595577
-1.360544,1000,1073.149734
145.210728,1000,1205.005878
-2.28013,1000,1338.893165
22.302158,1000,1530.558254
82.890855,1000,1662.889901
-33.753943,1000,1796.672069
-60.725076,1000,1993.026157
54.109589,1000,2125.21507
24.113475,1000,2256.664639
62.54417,1000,2452.3674
61.184211,1000,2589.278927
4.761905,1000,2728.046702
230.188679,1000,2923.007559
275.494071,1000,3055.480309
-28.327645,1000,3188.260061
524.183007,1000,3358.825184
19.266055,1000,3490.689553
317.763158,1000,3624.21409
354.545455,1000,3780.834356
