#{"t_start": 1776810264.2123652, "env_id": "CarRacing-v3"}
r,l,t
-34.545455,1000,145.526249
-40.251572,1000,317.604167
-27.586207,1000,490.90031
-50.530035,1000,713.073577
-31.15942,1000,884.793824
-29.936306,1000,1041.859453
-28.571429,1000,1295.608526
30.268199,1000,1472.638535
-31.596091,1000,1647.251382
4.316547,1000,1908.550161
106.489676,1000,2066.084947
117.665615,1000,2243.759027
250.453172,1000,2474.341462
50.684932,1000,2626.752576
134.042553,1000,2781.029349
51.943463,1000,3007.070777
80.921053,1000,3160.559131
319.047619,1000,3313.960849
283.647799,1000,3541.212308
639.130435,1000,3695.271777
347.098976,1000,3848.633099
167.973856,1000,4043.402486
129.357798,1000,4198.36716
317.763158,1000,4367.174935
509.848485,1000,4530.1186
