#{"t_start": 1777041532.2938259, "env_id": "None"}
r,l,t
-43.573536,1000,115.76607
-49.09079,1000,115.76607
-43.283554,1000,115.76607
-44.649338,1000,115.76607
-49.090855,1000,115.76607
-54.407005,1000,115.76607
-43.662025,1000,115.76607
-46.70832,1000,115.76607
-43.060555,1000,241.780128
-51.977257,1000,241.780128
-47.552418,1000,241.780128
-53.79517,1000,241.780128
-59.119164,1000,241.780128
-48.71791,1000,241.780128
-47.916588,1000,241.780128
-50.57026,1000,241.780128
-50.464317,1000,367.330143
-50.98031,1000,367.330143
-32.432682,1000,367.330143
-37.238686,1000,367.332126
-55.172256,1000,367.332126
-49.99993,1000,367.332126
-44.444317,1000,367.332126
-18.803186,1000,367.332126
-46.666668,1000,519.160847
-38.35609,1000,519.160847
-53.237278,1000,519.160847
-37.293907,1000,519.160847
-32.862118,1000,519.160847
-44.615433,1000,519.160847
-46.666634,1000,519.160847
-53.947227,1000,519.160847
69.382256,1000,643.002694
-31.159618,1000,643.002694
40.127285,1000,643.002694
-53.068424,1000,643.002694
-23.91285,1000,643.002694
25.449108,1000,643.002694
-46.372246,1000,643.002694
-17.80794,1000,643.002694
-20.151814,1000,766.326373
-30.656778,1000,766.326373
-26.8291,1000,766.326373
-16.03018,1000,766.326373
-36.30573,1000,766.326373
-29.328499,1000,766.326373
-28.838797,1000,766.326373
-38.235306,1000,766.326373
43.8608,1000,932.183289
-29.487112,1000,932.183289
-22.508972,1000,932.183289
12.211994,1000,932.183289
-28.571297,1000,932.183289
-30.31348,1000,932.183289
38.060883,1000,932.183289
-23.587784,1000,932.183289
40.57602,1000,1056.029816
54.6774,1000,1056.029816
-25.37312,1000,1056.029816
46.032677,1000,1056.029816
60.920692,1000,1056.029816
-18.518208,1000,1056.029816
59.421318,1000,1056.029816
82.12037,1000,1056.029816
-61.42478,928,1170.502514
-58.733025,999,1176.186597
-17.602644,1000,1176.374848
-18.215288,1000,1176.374848
-13.533448,1000,1176.37585
-28.338753,1000,1176.37585
-27.631475,1000,1176.37585
34.94921,1000,1176.37585
-22.806772,1000,1344.875319
-29.292757,1000,1350.690398
-21.146648,1000,1350.881418
-28.571327,1000,1350.881418
-30.463472,1000,1350.881418
-13.668624,1000,1350.881418
-17.26578,1000,1350.881418
238.17868,1000,1350.881418
25.413685,1000,1466.155662
424.27,1000,1471.919549
40.001205,1000,1472.159271
322.7913,1000,1472.159271
203.88351,1000,1472.159271
-5.604445,1000,1472.159271
