#{"t_start": 1777105444.0340352, "env_id": "CarRacing-v3"}
r,l,t
-40.140845,1000,128.729286
-9.722222,1000,282.761078
-32.098765,1000,437.682053
-26.666667,1000,634.922415
-21.135647,1000,789.387704
-10.11236,1000,942.713643
38.059701,1000,1174.030765
-16.666667,1000,1327.734133
38.996139,1000,1483.556262
22.807018,1000,1720.612592
22.112211,1000,1876.832879
77.370031,1000,2033.009825
323.913043,1000,2268.394493
349.477352,1000,2425.285065
261.111111,1000,2581.905833
59.322034,1000,2814.956485
329.62963,1000,2970.37309
606.744868,1000,3128.735857
621.682848,1000,3361.945169
830.909091,1000,3518.904135
781.918819,1000,3674.866026
495.244604,991,3880.640582
414.184397,1000,4036.613796
850.49505,1000,4194.262599
565.605096,1000,4352.398106
682.747604,1000,4591.607783
904.9,951,4743.076137
532.398754,1000,4901.456422
89.189189,1000,5140.412271
774.538745,1000,5296.611574
731.417625,1000,5452.861086
664.258555,1000,5683.031022
551.877133,1000,5841.149724
921.1,789,5953.581972
597.761194,1000,6181.720238
865.079365,1000,6340.672873
303.508772,1000,6500.069701
677.027027,1000,6728.130728
286.759582,1000,6885.554141
437.735849,1000,7045.174826
325.806452,1000,7280.483996
329.055516,835,7419.865853
505.839416,1000,7578.717486
677.003484,1000,7739.460716
714.035088,1000,7979.173368
527.272727,1000,8114.309883
896.268657,1000,8272.08853
712.92517,1000,8511.565086
908.7,913,8660.151329
830.909091,1000,8819.859815
665.079365,1000,9059.385924
742.465753,1000,9217.778512
748.591549,1000,9374.679934
841.605839,1000,9602.516839
893.920973,1000,9760.559432
838.461538,1000,9917.062256
389.43662,1000,10155.945032
329.125424,625,10249.399826
423.648649,1000,10408.449038
774.125874,1000,10566.009829
600.680272,1000,10804.747548
843.060498,1000,10963.15463
707.94702,1000,11122.922708
551.245552,1000,11364.19488
887.755102,1000,11524.084859
682.442748,1000,11683.431376
634.482759,1000,11923.767089
803.448276,1000,12082.777003
858.174905,1000,12241.413356
193.447293,1000,12461.990057
624.489796,1000,12621.171834
750.847458,1000,12779.9143
839.849624,1000,13018.503013
896.282528,1000,13178.269553
575.889328,1000,13338.142096
438.904899,1000,13581.256442
509.489051,1000,13741.007009
607.865169,1000,13902.538641
822.297297,1000,14062.524659
420.689655,1000,14306.842475
787.417219,1000,14466.261196
376.027397,1000,14625.699125
757.142857,1000,14870.592897
864.028777,1000,15032.727775
796.825397,1000,15191.557462
565.540541,1000,15431.354467
781.578947,1000,15590.207776
571.052632,1000,15750.235575
675.510204,1000,15991.696376
559.340659,1000,16151.837993
601.492537,1000,16290.006061
833.110368,1000,16523.858183
609.480122,1000,16685.910962
592.063492,1000,16845.249256
419.877676,1000,17089.443181
862.825279,1000,17247.763339
839.759036,1000,17405.256151
583.848797,1000,17646.143412
488.220382,743,17775.108466
877.272727,1000,17936.207167
568.971429,847,18056.096315
408.532423,1000,18300.84948
820.577617,1000,18459.148807
814.754098,1000,18619.470709
830.147059,1000,18860.529634
929.7,703,18964.592421
331.818182,1000,19124.680974
626.643599,1000,19365.95487
888.372093,1000,19524.538593
642.372881,1000,19686.846126
842.372881,1000,19924.877909
823.076923,1000,20084.860006
925.0,750,20215.201283
690.697674,1000,20374.873384
813.312693,1000,20584.749625
863.45515,1000,20743.932374
890.25974,1000,20905.84933
837.293729,1000,21150.0623
524.161074,1000,21310.54082
877.695167,1000,21470.187218
924.7,753,21684.512302
923.2,768,21797.746233
917.3,827,21936.291835
896.710526,1000,22097.321093
881.818182,1000,22329.779389
886.206897,1000,22489.873007
919.3,807,22605.282697
855.32646,1000,22847.678877
